"site","scale","type","N","z2","z2.ci1","z2.ci2"
"BCI",30.517578125,"spatial",13.0625,0.0109306702007077,2.05562128151222e-06,0.0762022773886358
"BCI",30.517578125,"random",13,0.00333717149112147,7.42614439138469e-07,0.0126695646377452
"BCI",61.03515625,"spatial",28.53125,0.0381580913131903,9.82734975103971e-05,0.26818741904175
"BCI",61.03515625,"random",29,0.0284568793195736,0.000298364056855131,0.135596489627471
"BCI",122.0703125,"spatial",49.21875,0.110783297611306,0.000223136262048872,0.498889444012252
"BCI",122.0703125,"random",49,0.0722065754677229,1.10945220919587e-05,0.283542926743003
"BCI",244.140625,"spatial",104.34375,0.375350682350188,0.0013620843310375,1.27525443146199
"BCI",244.140625,"random",104,0.307360971692056,0.0121853560264463,1.06315153152181
"BCI",488.28125,"spatial",201.90625,0.585880885927485,0.0146836401695959,2.73752112095055
"BCI",488.28125,"random",202,0.612194008353323,0.131361460390225,1.38753061009442
"BCI",976.5625,"spatial",398.09375,0.845469585721236,0.0194252035957599,2.97546126272997
"BCI",976.5625,"random",398,0.84646740440432,0.283166367852523,1.74632100407028
"BCI",1953.125,"spatial",831.15625,1.13263555087618,0.0102449402104941,3.2977219864195
"BCI",1953.125,"random",831,1.28580334653651,0.333193795331779,2.96525110697551
"BCI",3906.25,"spatial",1625.8125,1.69999565332033,0.0100987648846403,6.14910243614992
"BCI",3906.25,"random",1626,1.34193742165226,0.39240803885796,2.74908079035284
"BCI",7812.5,"spatial",3165.21875,1.04356299470912,0.0390499117384271,3.1823978347787
"BCI",7812.5,"random",3165,0.956753435525376,0.0686855983859298,2.138960337374
"BCI",15625,"spatial",6512.09375,0.477163555818434,0.00143859237399463,2.30447710917937
"BCI",15625,"random",6512,0.442887772641101,0.0572928908798563,1.1801982202142
"BCI",31250,"spatial",13024.1875,0.195704082260014,0.000786383733112168,0.834745038606743
"BCI",31250,"random",13024,0.066376654673277,0.000606902362143047,0.280408845876611
"BCI",62500,"spatial",26048.375,0.715501993420988,0.0595152112807634,1.65388275444846
"BCI",62500,"random",26048,0.632814283052256,0.11993523509974,1.59941530464839
"BCI",125000,"spatial",52096.75,2.08979375922959,1.03636844186252,3.40678918715185
"BCI",125000,"random",52097,2.06255191545447,0.83365455911663,3.34413144794819
"BCI",250000,"spatial",104193.5,3.65804288380647,3.39404171605075,3.92204405156219
"BCI",250000,"random",104194,4.2957874334543,3.13622946389329,5.34813503832976
"BCI",5e+05,"spatial",208387,7.63821744068358,7.63821744068358,7.63821744068358
"PASO",30.517578125,"spatial",21.21875,0.0121007968806027,8.65069969820197e-06,0.0828365506018516
"PASO",30.517578125,"random",21,0.00044140921011562,1.70577177147435e-05,0.00202790001730657
"PASO",61.03515625,"spatial",38.25,0.0270921053192729,5.02520343232397e-05,0.243092844603242
"PASO",61.03515625,"random",38,0.000835362026601849,7.48596519777016e-06,0.00446770812166448
"PASO",122.0703125,"spatial",75.3125,0.103029277660358,0.000193371113320365,0.719432488507825
"PASO",122.0703125,"random",75,0.0057012383589788,3.31622648436406e-05,0.040207536041819
"PASO",244.140625,"spatial",154.21875,0.114541098261108,0.000468265628828922,0.861381586713752
"PASO",244.140625,"random",154,0.0119071759568647,0.000599292784419952,0.0418608084097374
"PASO",488.28125,"spatial",296.21875,0.225631812568161,0.000153329122083309,0.937702103800863
"PASO",488.28125,"random",296,0.0385318904466236,0.000190029681660441,0.246478820252552
"PASO",976.5625,"spatial",642.875,0.463868334702587,0.000785811014381757,1.97742857851056
"PASO",976.5625,"random",643,0.0684378265553749,0.000595656488274046,0.201203984186551
"PASO",1953.125,"spatial",1342.09375,0.54807724071187,0.0070298499176149,2.09882335245383
"PASO",1953.125,"random",1342,0.0697665147435113,0.000432527392907896,0.367220292628972
"PASO",3906.25,"spatial",2445.6875,0.210407426038661,0.000160203034295124,1.02319535558299
"PASO",3906.25,"random",2446,0.140432338990732,0.00204883049628373,0.450308480125167
"PASO",7812.5,"spatial",5053.59375,0.514631863542018,0.000960172490531088,2.05310838048213
"PASO",7812.5,"random",5054,1.64547210223463,0.485674391249892,3.13114515678494
"PASO",15625,"spatial",10028.1875,2.13416833017323,0.0373478890806719,6.61212115442162
"PASO",15625,"random",10028,5.2155163492593,3.30291766829086,8.47640223731614
"PASO",31250,"spatial",20056.375,7.54474783013737,0.795894813405782,19.1662264221918
"PASO",31250,"random",20056,13.5538297054271,10.561576197936,17.6184667891025
"PASO",62500,"spatial",40112.75,19.0246191731898,6.12543700000199,36.0010403649513
"PASO",62500,"random",40113,27.2538462121049,23.2771398173947,31.9370931637929
"PASO",125000,"spatial",80225.5,37.4538806205159,21.4172963482921,55.5401372543755
"PASO",125000,"random",80226,48.3405535551051,43.8547859504777,51.7163399971588
"PASO",250000,"spatial",160451,68.1856276373035,67.4553555892892,68.9158996853178
"PASO",250000,"random",160451,75.88586543204,71.7785755158953,78.7770965644588
"PASO",5e+05,"spatial",320902,110.607907278507,110.607907278507,110.607907278507
